stake,prob,max_odds,clv,bets,wr,roi,final_bk,drawdown,score,score2
0.01,0.5,2.0,False,1649,65.7,4.79,372.3,12.8,6.714,30.934
0.01,0.5,2.0,True,1450,65.9,5.41,372.5,11.0,7.832,35.049
0.01,0.5,3.0,False,1997,63.6,7.08,553.3,9.3,19.078,48.825
0.01,0.5,3.0,True,1784,63.7,7.84,551.8,9.9,17.678,52.859
0.01,0.5,,False,1997,63.6,7.08,553.3,9.3,19.078,48.825
0.01,0.5,,True,1784,63.7,7.84,551.8,9.9,17.678,52.859
0.01,0.55,2.0,False,1611,66.4,5.7,405.4,11.0,9.311,37.453
0.01,0.55,2.0,True,1413,66.8,6.51,408.2,9.3,11.24,42.852
0.01,0.55,3.0,False,1679,65.9,6.09,431.2,10.4,11.095,40.515
0.01,0.55,3.0,True,1481,66.2,6.91,434.1,8.8,13.227,45.986
0.01,0.55,,False,1679,65.9,6.09,431.2,10.4,11.095,40.515
0.01,0.55,,True,1481,66.2,6.91,434.1,8.8,13.227,45.986
0.01,0.6,2.0,False,1363,68.7,6.33,395.8,8.7,11.318,41.739
0.01,0.6,2.0,True,1187,69.3,7.59,406.1,7.2,14.217,49.841
0.01,0.6,3.0,False,1371,68.7,6.64,408.2,8.6,12.175,43.866
0.01,0.6,3.0,True,1195,69.4,7.94,418.8,7.2,15.278,52.24
0.01,0.6,,False,1371,68.7,6.64,408.2,8.6,12.175,43.866
0.01,0.6,,True,1195,69.4,7.94,418.8,7.2,15.278,52.24
0.01,0.65,2.0,False,1069,69.8,4.28,297.8,9.3,5.257,27.078
0.01,0.65,2.0,True,919,70.5,5.37,306.2,9.0,5.895,33.345
0.01,0.65,3.0,False,1069,69.8,4.28,297.8,9.3,5.257,27.078
0.01,0.65,3.0,True,919,70.5,5.37,306.2,9.0,5.895,33.345
0.01,0.65,,False,1069,69.8,4.28,297.8,9.3,5.257,27.078
0.01,0.65,,True,919,70.5,5.37,306.2,9.0,5.895,33.345
0.02,0.5,2.0,False,1649,65.7,4.67,561.7,19.3,9.376,27.924
0.02,0.5,2.0,True,1450,65.9,5.28,567.5,16.8,10.949,31.988
0.02,0.5,3.0,False,1997,63.6,7.12,1106.8,18.0,25.188,44.371
0.02,0.5,3.0,True,1784,63.7,7.68,1084.8,17.5,25.323,47.456
0.02,0.5,,False,1997,63.6,7.12,1106.8,18.0,25.188,44.371
0.02,0.5,,True,1784,63.7,7.68,1084.8,17.5,25.323,47.456
0.02,0.55,2.0,False,1611,66.4,5.6,647.9,15.9,14.122,34.798
0.02,0.55,2.0,True,1413,66.8,6.39,660.2,13.3,17.263,40.175
0.02,0.55,3.0,False,1679,65.9,6.03,714.6,16.2,15.901,37.536
0.02,0.55,3.0,True,1481,66.2,6.81,727.1,13.3,19.772,43.093
0.02,0.55,,False,1679,65.9,6.03,714.6,16.2,15.901,37.536
0.02,0.55,,True,1481,66.2,6.81,727.1,13.3,19.772,43.093
0.02,0.6,2.0,False,1363,68.7,6.17,630.7,14.9,14.406,37.878
0.02,0.6,2.0,True,1187,69.3,7.47,663.6,12.9,17.957,46.06
0.02,0.6,3.0,False,1371,68.7,6.49,662.8,15.0,15.467,39.87
0.02,0.6,3.0,True,1195,69.4,7.83,697.2,12.9,19.256,48.326
0.02,0.6,,False,1371,68.7,6.49,662.8,15.0,15.467,39.87
0.02,0.6,,True,1195,69.4,7.83,697.2,12.9,19.256,48.326
0.02,0.65,2.0,False,1069,69.8,4.07,397.6,17.1,5.776,23.532
0.02,0.65,2.0,True,919,70.5,5.24,422.8,14.6,7.608,30.524
0.02,0.65,3.0,False,1069,69.8,4.07,397.6,17.1,5.776,23.532
0.02,0.65,3.0,True,919,70.5,5.24,422.8,14.6,7.608,30.524
0.02,0.65,,False,1069,69.8,4.07,397.6,17.1,5.776,23.532
0.02,0.65,,True,919,70.5,5.24,422.8,14.6,7.608,30.524
0.03,0.5,2.0,False,1649,65.7,4.51,758.5,27.5,10.162,24.231
0.03,0.5,2.0,True,1450,65.9,5.13,778.5,24.4,11.874,28.249
0.03,0.5,3.0,False,1997,63.6,7.09,1966.5,26.5,33.381,39.626
0.03,0.5,3.0,True,1784,63.7,7.42,1874.0,24.8,33.763,41.783
0.03,0.5,,False,1997,63.6,7.09,1966.5,26.5,33.381,39.626
0.03,0.5,,True,1784,63.7,7.42,1874.0,24.8,33.763,41.783
0.03,0.55,2.0,False,1611,66.4,5.47,921.2,20.0,18.012,32.31
0.03,0.55,2.0,True,1413,66.8,6.23,954.2,19.6,19.22,36.327
0.03,0.55,3.0,False,1679,65.9,5.93,1045.7,20.0,21.121,35.223
0.03,0.55,3.0,True,1481,66.2,6.67,1080.4,19.6,22.436,39.144
0.03,0.55,,False,1679,65.9,5.93,1045.7,20.0,21.121,35.223
0.03,0.55,,True,1481,66.2,6.67,1080.4,19.6,22.436,39.144
0.03,0.6,2.0,False,1363,68.7,5.98,902.6,21.9,16.071,33.729
0.03,0.6,2.0,True,1187,69.3,7.33,979.1,18.9,20.557,42.062
0.03,0.6,3.0,False,1371,68.7,6.31,963.4,21.9,17.461,35.619
0.03,0.6,3.0,True,1195,69.4,7.69,1044.2,19.0,22.262,44.164
0.03,0.6,,False,1371,68.7,6.31,963.4,21.9,17.461,35.619
0.03,0.6,,True,1195,69.4,7.69,1044.2,19.0,22.262,44.164
0.03,0.65,2.0,False,1069,69.8,3.85,495.7,24.8,5.963,20.195
0.03,0.65,2.0,True,919,70.5,5.12,548.8,19.3,9.026,28.19
0.03,0.65,3.0,False,1069,69.8,3.85,495.7,24.8,5.963,20.195
0.03,0.65,3.0,True,919,70.5,5.12,548.8,19.3,9.026,28.19
0.03,0.65,,False,1069,69.8,3.85,495.7,24.8,5.963,20.195
0.03,0.65,,True,919,70.5,5.12,548.8,19.3,9.026,28.19
0.05,0.5,2.0,False,1649,65.7,4.09,1120.5,43.5,10.571,17.108
0.05,0.5,2.0,True,1450,65.9,4.75,1212.3,38.1,13.3,21.419
0.05,0.5,3.0,False,1997,63.6,6.78,5220.3,42.0,59.779,29.891
0.05,0.5,3.0,True,1784,63.7,6.59,4582.2,38.7,56.617,30.246
0.05,0.5,,False,1997,63.6,6.78,5220.3,42.0,59.779,29.891
0.05,0.5,,True,1784,63.7,6.59,4582.2,38.7,56.617,30.246
0.05,0.55,2.0,False,1611,66.4,5.12,1510.2,32.6,20.082,25.478
0.05,0.55,2.0,True,1413,66.8,5.83,1644.6,31.4,23.025,29.025
0.05,0.55,3.0,False,1679,65.9,5.61,1802.9,32.6,24.592,28.085
0.05,0.55,3.0,True,1481,66.2,6.27,1951.9,31.4,27.923,31.418
0.05,0.55,,False,1679,65.9,5.61,1802.9,32.6,24.592,28.085
0.05,0.55,,True,1481,66.2,6.27,1951.9,31.4,27.923,31.418
0.05,0.6,2.0,False,1363,68.7,5.55,1534.5,34.5,19.323,26.228
0.05,0.6,2.0,True,1187,69.3,7.0,1805.5,30.2,26.554,34.578
0.05,0.6,3.0,False,1371,68.7,5.88,1683.3,34.5,21.473,27.806
0.05,0.6,3.0,True,1195,69.4,7.36,1976.6,30.2,29.375,36.386
0.05,0.6,,False,1371,68.7,5.88,1683.3,34.5,21.473,27.806
0.05,0.6,,True,1195,69.4,7.36,1976.6,30.2,29.375,36.386
0.05,0.65,2.0,False,1069,69.8,3.39,671.5,38.5,6.118,14.536
0.05,0.65,2.0,True,919,70.5,4.86,825.0,30.7,10.189,22.994
0.05,0.65,3.0,False,1069,69.8,3.39,671.5,38.5,6.118,14.536
0.05,0.65,3.0,True,919,70.5,4.86,825.0,30.7,10.189,22.994
0.05,0.65,,False,1069,69.8,3.39,671.5,38.5,6.118,14.536
0.05,0.65,,True,919,70.5,4.86,825.0,30.7,10.189,22.994
