stake,prob,max_odds,clv,bets,wr,roi,final_bk,drawdown,score,score2
0.03,0.65,3.0,True,739,71.2,6.78,570.1,17.7,10.432,36.847
0.03,0.65,,False,826,70.2,4.83,485.4,20.4,7.011,25.844
0.03,0.65,,True,739,71.2,6.78,570.1,17.7,10.432,36.847
0.05,0.5,2.0,False,1254,68.1,8.38,2429.8,29.7,37.526,42.027
0.05,0.5,2.0,True,1157,68.7,10.28,2938.1,21.0,65.099,57.269
0.05,0.5,3.0,False,1446,66.5,10.18,4909.6,39.2,59.994,45.005
0.05,0.5,3.0,True,1347,66.8,10.71,5130.4,37.6,65.564,48.161
0.05,0.5,,False,1446,66.5,10.18,4909.6,39.2,59.994,45.005
0.05,0.5,,True,1347,66.8,10.71,5130.4,37.6,65.564,48.161
0.05,0.55,2.0,False,1228,68.2,8.38,2222.6,29.7,34.039,41.903
0.05,0.55,2.0,True,1132,68.9,10.46,2761.4,21.0,60.899,58.091
0.05,0.55,3.0,False,1255,68.0,8.81,2415.2,29.7,37.28,44.188
0.05,0.55,3.0,True,1159,68.6,10.73,2956.3,23.4,58.946,58.011
0.05,0.55,,False,1255,68.0,8.81,2415.2,29.7,37.28,44.188
0.05,0.55,,True,1159,68.6,10.73,2956.3,23.4,58.946,58.011
0.05,0.6,2.0,False,1046,70.0,7.99,1798.4,33.2,24.086,37.125
0.05,0.6,2.0,True,950,70.9,10.54,2307.2,24.2,43.519,54.78
0.05,0.6,3.0,False,1046,70.0,7.99,1798.4,33.2,24.086,37.125
0.05,0.6,3.0,True,950,70.9,10.54,2307.2,24.2,43.519,54.78
0.05,0.6,,False,1046,70.0,7.99,1798.4,33.2,24.086,37.125
0.05,0.6,,True,950,70.9,10.54,2307.2,24.2,43.519,54.78
0.05,0.65,2.0,False,826,70.2,4.56,695.1,30.2,8.186,21.37
0.05,0.65,2.0,True,739,71.2,7.01,929.8,23.3,15.642,35.508
0.05,0.65,3.0,False,826,70.2,4.56,695.1,30.2,8.186,21.37
0.05,0.65,3.0,True,739,71.2,7.01,929.8,23.3,15.642,35.508
0.05,0.65,,False,826,70.2,4.56,695.1,30.2,8.186,21.37
0.05,0.65,,True,739,71.2,7.01,929.8,23.3,15.642,35.508
