label,stake,prob,max_odds,clv,bets,wr,roi,final_bk,drawdown,score,score2
S s=0.02 p=0.65 mo=2.0 clv=True,0.02,0.65,2.0,True,258,69.0,3.39,236.4,12.1,1.296,16.56
S s=0.02 p=0.65 mo=3.0 clv=False,0.02,0.65,3.0,False,490,67.6,1.25,224.3,23.8,0.509,5.899
S s=0.02 p=0.65 mo=3.0 clv=True,0.02,0.65,3.0,True,258,69.0,3.39,236.4,12.1,1.296,16.56
S s=0.02 p=0.65 mo=None clv=False,0.02,0.65,,False,490,67.6,1.25,224.3,23.8,0.509,5.899
S s=0.02 p=0.65 mo=None clv=True,0.02,0.65,,True,258,69.0,3.39,236.4,12.1,1.296,16.56
S s=0.03 p=0.5 mo=2.0 clv=False,0.03,0.5,2.0,False,685,65.1,1.92,282.8,31.4,1.319,8.603
S s=0.03 p=0.5 mo=2.0 clv=True,0.03,0.5,2.0,True,361,68.7,7.94,408.5,12.0,8.708,41.18
S s=0.03 p=0.5 mo=3.0 clv=False,0.03,0.5,3.0,False,708,64.5,1.78,280.4,34.5,1.167,7.659
S s=0.03 p=0.5 mo=3.0 clv=True,0.03,0.5,3.0,True,370,68.1,7.49,400.4,15.3,6.553,37.537
S s=0.03 p=0.5 mo=None clv=False,0.03,0.5,,False,708,64.5,1.78,280.4,34.5,1.167,7.659
S s=0.03 p=0.5 mo=None clv=True,0.03,0.5,,True,370,68.1,7.49,400.4,15.3,6.553,37.537
S s=0.03 p=0.55 mo=2.0 clv=False,0.03,0.55,2.0,False,673,65.4,1.82,276.8,28.2,1.361,8.51
S s=0.03 p=0.55 mo=2.0 clv=True,0.03,0.55,2.0,True,354,69.2,8.99,430.8,12.0,9.642,46.471
S s=0.03 p=0.55 mo=3.0 clv=False,0.03,0.55,3.0,False,673,65.4,1.82,276.8,28.2,1.361,8.51
S s=0.03 p=0.55 mo=3.0 clv=True,0.03,0.55,3.0,True,354,69.2,8.99,430.8,12.0,9.642,46.471
S s=0.03 p=0.55 mo=None clv=False,0.03,0.55,,False,673,65.4,1.82,276.8,28.2,1.361,8.51
S s=0.03 p=0.55 mo=None clv=True,0.03,0.55,,True,354,69.2,8.99,430.8,12.0,9.642,46.471
S s=0.03 p=0.6 mo=2.0 clv=False,0.03,0.6,2.0,False,591,67.9,3.46,338.2,27.5,2.516,16.02
S s=0.03 p=0.6 mo=2.0 clv=True,0.03,0.6,2.0,True,311,70.4,9.2,405.5,10.5,9.769,47.277
S s=0.03 p=0.6 mo=3.0 clv=False,0.03,0.6,3.0,False,591,67.9,3.46,338.2,27.5,2.516,16.02
S s=0.03 p=0.6 mo=3.0 clv=True,0.03,0.6,3.0,True,311,70.4,9.2,405.5,10.5,9.769,47.277
S s=0.03 p=0.6 mo=None clv=False,0.03,0.6,,False,591,67.9,3.46,338.2,27.5,2.516,16.02
S s=0.03 p=0.6 mo=None clv=True,0.03,0.6,,True,311,70.4,9.2,405.5,10.5,9.769,47.277
S s=0.03 p=0.65 mo=2.0 clv=False,0.03,0.65,2.0,False,490,67.6,1.26,236.3,34.6,0.525,5.106
S s=0.03 p=0.65 mo=2.0 clv=True,0.03,0.65,2.0,True,258,69.0,3.37,255.4,16.5,1.443,15.633
S s=0.03 p=0.65 mo=3.0 clv=False,0.03,0.65,3.0,False,490,67.6,1.26,236.3,34.6,0.525,5.106
S s=0.03 p=0.65 mo=3.0 clv=True,0.03,0.65,3.0,True,258,69.0,3.37,255.4,16.5,1.443,15.633
S s=0.03 p=0.65 mo=None clv=False,0.03,0.65,,False,490,67.6,1.26,236.3,34.6,0.525,5.106
S s=0.03 p=0.65 mo=None clv=True,0.03,0.65,,True,258,69.0,3.37,255.4,16.5,1.443,15.633
S s=0.05 p=0.5 mo=2.0 clv=False,0.05,0.5,2.0,False,685,65.1,1.72,325.4,51.4,1.219,5.455
S s=0.05 p=0.5 mo=2.0 clv=True,0.05,0.5,2.0,True,361,68.7,7.67,578.8,19.5,9.719,36.382
S s=0.05 p=0.5 mo=3.0 clv=False,0.05,0.5,3.0,False,708,64.5,1.57,320.5,55.0,1.095,4.638
S s=0.05 p=0.5 mo=3.0 clv=True,0.05,0.5,3.0,True,370,68.1,7.17,557.7,24.6,7.259,31.967
S s=0.05 p=0.5 mo=None clv=False,0.05,0.5,,False,708,64.5,1.57,320.5,55.0,1.095,4.638
S s=0.05 p=0.5 mo=None clv=True,0.05,0.5,,True,370,68.1,7.17,557.7,24.6,7.259,31.967
S s=0.05 p=0.55 mo=2.0 clv=False,0.05,0.55,2.0,False,673,65.4,1.49,305.4,45.1,1.17,5.33
S s=0.05 p=0.55 mo=2.0 clv=True,0.05,0.55,2.0,True,354,69.2,9.14,643.8,19.5,11.392,43.216
S s=0.05 p=0.55 mo=3.0 clv=False,0.05,0.55,3.0,False,673,65.4,1.49,305.4,45.1,1.17,5.33
S s=0.05 p=0.55 mo=3.0 clv=True,0.05,0.55,3.0,True,354,69.2,9.14,643.8,19.5,11.392,43.216
S s=0.05 p=0.55 mo=None clv=False,0.05,0.55,,False,673,65.4,1.49,305.4,45.1,1.17,5.33
S s=0.05 p=0.55 mo=None clv=True,0.05,0.55,,True,354,69.2,9.14,643.8,19.5,11.392,43.216
S s=0.05 p=0.6 mo=2.0 clv=False,0.05,0.6,2.0,False,591,67.9,2.98,410.2,42.4,2.479,10.959
S s=0.05 p=0.6 mo=2.0 clv=True,0.05,0.6,2.0,True,311,70.4,9.88,618.8,16.4,12.73,47.407
S s=0.05 p=0.6 mo=3.0 clv=False,0.05,0.6,3.0,False,591,67.9,2.98,410.2,42.4,2.479,10.959
S s=0.05 p=0.6 mo=3.0 clv=True,0.05,0.6,3.0,True,311,70.4,9.88,618.8,16.4,12.73,47.407
S s=0.05 p=0.6 mo=None clv=False,0.05,0.6,,False,591,67.9,2.98,410.2,42.4,2.479,10.959
S s=0.05 p=0.6 mo=None clv=True,0.05,0.6,,True,311,70.4,9.88,618.8,16.4,12.73,47.407
S s=0.05 p=0.65 mo=2.0 clv=False,0.05,0.65,2.0,False,490,67.6,1.3,260.9,53.5,0.569,3.747
S s=0.05 p=0.65 mo=2.0 clv=True,0.05,0.65,2.0,True,258,69.0,3.33,294.3,23.2,1.744,14.202
S s=0.05 p=0.65 mo=3.0 clv=False,0.05,0.65,3.0,False,490,67.6,1.3,260.9,53.5,0.569,3.747
S s=0.05 p=0.65 mo=3.0 clv=True,0.05,0.65,3.0,True,258,69.0,3.33,294.3,23.2,1.744,14.202
S s=0.05 p=0.65 mo=None clv=False,0.05,0.65,,False,490,67.6,1.3,260.9,53.5,0.569,3.747
S s=0.05 p=0.65 mo=None clv=True,0.05,0.65,,True,258,69.0,3.33,294.3,23.2,1.744,14.202
