label,mode,stake,prob,max_odds,bets,wr,roi,final_bk,growth,drawdown,lose_str,avg_odds,score,score2
PROB s=0.02 p=0.62 mo=5.0,SIMPLE,0.02,0.62,5.0,1514,66.8,-1.43,119.8,-40.1,49.6,5,1.49,-0.81,-5.282
PROB s=0.02 p=0.62 mo=None,SIMPLE,0.02,0.62,,1514,66.8,-1.43,119.8,-40.1,49.6,5,1.49,-0.81,-5.282
PROB s=0.02 p=0.65 mo=2.0,SIMPLE,0.02,0.65,2.0,1240,68.3,-1.08,148.6,-25.7,41.4,5,1.46,-0.621,-4.509
PROB s=0.02 p=0.65 mo=3.0,SIMPLE,0.02,0.65,3.0,1240,68.3,-1.08,148.6,-25.7,41.4,5,1.46,-0.621,-4.509
PROB s=0.02 p=0.65 mo=5.0,SIMPLE,0.02,0.65,5.0,1240,68.3,-1.08,148.6,-25.7,41.4,5,1.46,-0.621,-4.509
PROB s=0.02 p=0.65 mo=None,SIMPLE,0.02,0.65,,1240,68.3,-1.08,148.6,-25.7,41.4,5,1.46,-0.621,-4.509
PROB s=0.02 p=0.7 mo=2.0,SIMPLE,0.02,0.7,2.0,881,71.2,0.7,225.7,12.8,26.7,5,1.42,0.48,3.478
PROB s=0.02 p=0.7 mo=3.0,SIMPLE,0.02,0.7,3.0,881,71.2,0.7,225.7,12.8,26.7,5,1.42,0.48,3.478
PROB s=0.02 p=0.7 mo=5.0,SIMPLE,0.02,0.7,5.0,881,71.2,0.7,225.7,12.8,26.7,5,1.42,0.48,3.478
PROB s=0.02 p=0.7 mo=None,SIMPLE,0.02,0.7,,881,71.2,0.7,225.7,12.8,26.7,5,1.42,0.48,3.478
PROB s=0.03 p=0.5 mo=2.0,SIMPLE,0.03,0.5,2.0,2873,61.5,-1.11,55.0,-72.5,91.4,5,1.64,-0.794,-0.764
PROB s=0.03 p=0.5 mo=3.0,SIMPLE,0.03,0.5,3.0,2963,61.2,-0.85,76.3,-61.8,89.5,7,1.66,-0.691,-0.715
PROB s=0.03 p=0.5 mo=5.0,SIMPLE,0.03,0.5,5.0,2963,61.2,-0.85,76.3,-61.8,89.5,7,1.66,-0.691,-0.715
PROB s=0.03 p=0.5 mo=None,SIMPLE,0.03,0.5,,2963,61.2,-0.85,76.3,-61.8,89.5,7,1.66,-0.691,-0.715
