label,mode,stake,edge,prob,max_odds,bets,wr,roi,final_bk,growth,drawdown,lose_str,avg_odds,score,score2
S s=0.03 e=0.03 p=0.55 mo=2.0,SIMPLE,0.03,0.03,0.55,2.0,706,67.3,4.62,431.9,115.9,21.2,5,1.57,5.466,23.883
S s=0.03 e=0.03 p=0.55 mo=3.0,SIMPLE,0.03,0.03,0.55,3.0,706,67.3,4.62,431.9,115.9,21.2,5,1.57,5.466,23.883
S s=0.03 e=0.03 p=0.55 mo=None,SIMPLE,0.03,0.03,0.55,,706,67.3,4.62,431.9,115.9,21.2,5,1.57,5.466,23.883
S s=0.03 e=0.03 p=0.6 mo=2.0,SIMPLE,0.03,0.03,0.6,2.0,624,68.8,4.59,405.1,102.5,24.3,4,1.53,4.212,22.357
S s=0.03 e=0.03 p=0.6 mo=3.0,SIMPLE,0.03,0.03,0.6,3.0,624,68.8,4.59,405.1,102.5,24.3,4,1.53,4.212,22.357
S s=0.03 e=0.03 p=0.6 mo=None,SIMPLE,0.03,0.03,0.6,,624,68.8,4.59,405.1,102.5,24.3,4,1.53,4.212,22.357
S s=0.03 e=0.03 p=0.65 mo=2.0,SIMPLE,0.03,0.03,0.65,2.0,517,68.1,1.28,239.6,19.8,27.9,4,1.5,0.71,5.767
S s=0.03 e=0.03 p=0.65 mo=3.0,SIMPLE,0.03,0.03,0.65,3.0,517,68.1,1.28,239.6,19.8,27.9,4,1.5,0.71,5.767
S s=0.03 e=0.03 p=0.65 mo=None,SIMPLE,0.03,0.03,0.65,,517,68.1,1.28,239.6,19.8,27.9,4,1.5,0.71,5.767
S s=0.03 e=0.05 p=0.5 mo=2.0,SIMPLE,0.03,0.05,0.5,2.0,216,63.9,-2.0,174.8,-12.6,30.6,4,1.55,-0.296,-7.462
S s=0.03 e=0.05 p=0.5 mo=3.0,SIMPLE,0.03,0.05,0.5,3.0,218,63.8,-1.96,175.2,-12.4,30.6,4,1.56,-0.294,-7.326
S s=0.03 e=0.05 p=0.5 mo=None,SIMPLE,0.03,0.05,0.5,,218,63.8,-1.96,175.2,-12.4,30.6,4,1.56,-0.294,-7.326
S s=0.03 e=0.05 p=0.55 mo=2.0,SIMPLE,0.03,0.05,0.55,2.0,216,63.9,-2.0,174.8,-12.6,30.6,4,1.55,-0.296,-7.462
S s=0.03 e=0.05 p=0.55 mo=3.0,SIMPLE,0.03,0.05,0.55,3.0,216,63.9,-2.0,174.8,-12.6,30.6,4,1.55,-0.296,-7.462
S s=0.03 e=0.05 p=0.55 mo=None,SIMPLE,0.03,0.05,0.55,,216,63.9,-2.0,174.8,-12.6,30.6,4,1.55,-0.296,-7.462
S s=0.03 e=0.05 p=0.6 mo=2.0,SIMPLE,0.03,0.05,0.6,2.0,207,65.2,-0.59,192.5,-3.8,30.7,4,1.54,-0.084,-2.183
S s=0.03 e=0.05 p=0.6 mo=3.0,SIMPLE,0.03,0.05,0.6,3.0,207,65.2,-0.59,192.5,-3.8,30.7,4,1.54,-0.084,-2.183
S s=0.03 e=0.05 p=0.6 mo=None,SIMPLE,0.03,0.05,0.6,,207,65.2,-0.59,192.5,-3.8,30.7,4,1.54,-0.084,-2.183
S s=0.03 e=0.05 p=0.65 mo=2.0,SIMPLE,0.03,0.05,0.65,2.0,193,64.2,-3.07,165.0,-17.5,36.1,4,1.52,-0.312,-10.331
S s=0.03 e=0.05 p=0.65 mo=3.0,SIMPLE,0.03,0.05,0.65,3.0,193,64.2,-3.07,165.0,-17.5,36.1,4,1.52,-0.312,-10.331
