stake,prob,max_odds,clv,bets,wr,roi,final_bk,drawdown,score,score2
0.01,0.5,2.0,False,1464,66.7,6.34,412.0,8.6,12.326,42.242
0.01,0.5,2.0,True,1342,67.4,7.9,447.0,6.7,18.57,53.117
0.01,0.5,3.0,False,1741,64.5,7.81,533.0,10.0,16.648,52.456
0.01,0.5,3.0,True,1617,64.9,8.94,561.2,7.8,23.271,60.931
0.01,0.5,,False,1741,64.5,7.81,533.0,10.0,16.648,52.456
0.01,0.5,,True,1617,64.9,8.94,561.2,7.8,23.271,60.931
0.01,0.55,2.0,False,1422,67.5,7.4,442.6,8.0,15.161,49.43
0.01,0.55,2.0,True,1301,68.3,9.21,481.9,6.2,22.734,61.956
0.01,0.55,3.0,False,1461,67.0,7.22,441.4,8.4,14.403,48.207
0.01,0.55,3.0,True,1340,67.8,8.92,479.6,6.5,21.579,60.072
0.01,0.55,,False,1461,67.0,7.22,441.4,8.4,14.403,48.207
0.01,0.55,,True,1340,67.8,8.92,479.6,6.5,21.579,60.072
0.01,0.6,2.0,False,1204,68.6,5.89,356.0,8.2,9.467,38.342
0.01,0.6,2.0,True,1089,69.5,7.57,385.2,6.8,13.559,49.328
0.01,0.6,3.0,False,1205,68.5,5.78,353.2,8.3,9.218,37.602
0.01,0.6,3.0,True,1090,69.4,7.44,382.2,6.9,13.224,48.456
0.01,0.6,,False,1205,68.5,5.78,353.2,8.3,9.218,37.602
0.01,0.6,,True,1090,69.4,7.44,382.2,6.9,13.224,48.456
0.01,0.65,2.0,False,956,70.4,5.15,307.8,9.7,5.559,31.92
0.01,0.65,2.0,True,856,71.0,6.13,314.9,9.6,6.002,37.437
0.01,0.65,3.0,False,956,70.4,5.15,307.8,9.7,5.559,31.92
0.01,0.65,3.0,True,856,71.0,6.13,314.9,9.6,6.002,37.437
0.01,0.65,,False,956,70.4,5.15,307.8,9.7,5.559,31.92
0.01,0.65,,True,856,71.0,6.13,314.9,9.6,6.002,37.437
0.02,0.5,2.0,False,1464,66.7,6.21,673.2,13.4,17.708,39.221
0.02,0.5,2.0,True,1342,67.4,7.89,776.2,9.4,30.782,51.51
0.02,0.5,3.0,False,1741,64.5,7.89,1037.2,19.3,21.713,47.529
0.02,0.5,3.0,True,1617,64.9,8.94,1119.0,15.1,30.39,56.069
0.02,0.5,,False,1741,64.5,7.89,1037.2,19.3,21.713,47.529
0.02,0.5,,True,1617,64.9,8.94,1119.0,15.1,30.39,56.069
0.02,0.55,2.0,False,1422,67.5,7.4,761.1,11.5,24.416,47.555
0.02,0.55,2.0,True,1301,68.3,9.39,882.0,8.2,41.741,61.84
0.02,0.55,3.0,False,1461,67.0,7.18,749.1,14.7,18.716,44.649
0.02,0.55,3.0,True,1340,67.8,9.02,864.0,10.9,30.43,57.868
0.02,0.55,,False,1461,67.0,7.18,749.1,14.7,18.716,44.649
0.02,0.55,,True,1340,67.8,9.02,864.0,10.9,30.43,57.868
0.02,0.6,2.0,False,1204,68.6,5.83,540.3,12.5,13.589,36.181
0.02,0.6,2.0,True,1089,69.5,7.63,621.1,12.1,17.445,46.923
0.02,0.6,3.0,False,1205,68.5,5.69,532.4,12.5,13.275,35.316
0.02,0.6,3.0,True,1090,69.4,7.46,612.1,12.1,17.074,45.883
0.02,0.6,,False,1205,68.5,5.69,532.4,12.5,13.275,35.316
0.02,0.6,,True,1090,69.4,7.46,612.1,12.1,17.074,45.883
0.02,0.65,2.0,False,956,70.4,4.91,425.2,15.3,7.359,28.545
0.02,0.65,2.0,True,856,71.0,6.04,447.6,14.4,8.574,34.901
0.02,0.65,3.0,False,956,70.4,4.91,425.2,15.3,7.359,28.545
0.02,0.65,3.0,True,856,71.0,6.04,447.6,14.4,8.574,34.901
0.02,0.65,,False,956,70.4,4.91,425.2,15.3,7.359,28.545
0.02,0.65,,True,856,71.0,6.04,447.6,14.4,8.574,34.901
0.03,0.5,2.0,False,1464,66.7,6.05,986.3,19.8,19.897,35.388
0.03,0.5,2.0,True,1342,67.4,7.88,1210.0,13.8,36.728,48.953
0.03,0.5,3.0,False,1741,64.5,7.92,1785.2,27.9,28.45,42.639
0.03,0.5,3.0,True,1617,64.9,8.85,1962.3,22.2,39.727,50.888
0.03,0.5,,False,1741,64.5,7.92,1785.2,27.9,28.45,42.639
0.03,0.5,,True,1617,64.9,8.85,1962.3,22.2,39.727,50.888
0.03,0.55,2.0,False,1422,67.5,7.37,1172.4,17.1,28.417,44.354
0.03,0.55,2.0,True,1301,68.3,9.55,1447.3,12.2,51.331,60.168
0.03,0.55,3.0,False,1461,67.0,7.1,1130.4,21.5,21.648,40.622
0.03,0.55,3.0,True,1340,67.8,9.08,1382.0,16.1,36.594,54.827
0.03,0.55,,False,1461,67.0,7.1,1130.4,21.5,21.648,40.622
0.03,0.55,,True,1340,67.8,9.08,1382.0,16.1,36.594,54.827
0.03,0.6,2.0,False,1204,68.6,5.74,754.5,18.4,15.109,33.249
0.03,0.6,2.0,True,1089,69.5,7.68,921.7,17.7,20.433,44.228
0.03,0.6,3.0,False,1205,68.5,5.57,738.4,18.4,14.671,32.268
0.03,0.6,3.0,True,1090,69.4,7.46,901.9,17.7,19.874,42.966
0.03,0.6,,False,1205,68.5,5.57,738.4,18.4,14.671,32.268
0.03,0.6,,True,1090,69.4,7.46,901.9,17.7,19.874,42.966
0.03,0.65,2.0,False,956,70.4,4.68,550.9,19.1,9.194,25.994
0.03,0.65,2.0,True,856,71.0,5.95,600.7,17.1,11.731,33.32
0.03,0.65,3.0,False,956,70.4,4.68,550.9,19.1,9.194,25.994
0.03,0.65,3.0,True,856,71.0,5.95,600.7,17.1,11.731,33.32
0.03,0.65,,False,956,70.4,4.68,550.9,19.1,9.194,25.994
0.03,0.65,,True,856,71.0,5.95,600.7,17.1,11.731,33.32
0.05,0.5,2.0,False,1464,66.7,5.7,1770.7,31.9,24.65,28.313
0.05,0.5,2.0,True,1342,67.4,7.83,2505.3,22.7,50.756,43.589
0.05,0.5,3.0,False,1741,64.5,7.82,4367.9,43.0,48.43,33.247
0.05,0.5,3.0,True,1617,64.9,8.41,4958.6,35.2,67.536,40.249
0.05,0.5,,False,1741,64.5,7.82,4367.9,43.0,48.43,33.247
0.05,0.5,,True,1617,64.9,8.41,4958.6,35.2,67.536,40.249
0.05,0.55,2.0,False,1422,67.5,7.19,2347.9,27.9,38.437,37.618
0.05,0.55,2.0,True,1301,68.3,9.77,3354.1,19.9,79.209,56.117
0.05,0.55,3.0,False,1461,67.0,6.83,2121.3,34.1,28.204,32.821
0.05,0.55,3.0,True,1340,67.8,9.06,2957.6,26.2,52.526,48.116
0.05,0.55,,False,1461,67.0,6.83,2121.3,34.1,28.204,32.821
0.05,0.55,,True,1340,67.8,9.06,2957.6,26.2,52.526,48.116
0.05,0.6,2.0,False,1204,68.6,5.52,1280.2,29.2,18.517,27.737
0.05,0.6,2.0,True,1089,69.5,7.72,1790.4,28.0,28.4,38.875
0.05,0.6,3.0,False,1205,68.5,5.28,1233.1,29.2,17.709,26.534
0.05,0.6,3.0,True,1090,69.4,7.38,1722.9,28.0,27.195,37.168
0.05,0.6,,False,1205,68.5,5.28,1233.1,29.2,17.709,26.534
0.05,0.6,,True,1090,69.4,7.38,1722.9,28.0,27.195,37.168
0.05,0.65,2.0,False,956,70.4,4.2,819.2,30.3,10.211,20.087
0.05,0.65,2.0,True,856,71.0,5.81,980.9,23.0,16.975,30.213
0.05,0.65,3.0,False,956,70.4,4.2,819.2,30.3,10.211,20.087
0.05,0.65,3.0,True,856,71.0,5.81,980.9,23.0,16.975,30.213
0.05,0.65,,False,956,70.4,4.2,819.2,30.3,10.211,20.087
0.05,0.65,,True,856,71.0,5.81,980.9,23.0,16.975,30.213
