stake,prob,max_odds,clv,bets,wr,roi,final_bk,drawdown,score,score2
0.05,0.5,,True,1838,63.4,9.27,7368.4,33.1,108.414,46.645
0.05,0.55,2.0,False,1615,66.6,6.73,2634.2,26.1,46.65,36.748
0.05,0.55,2.0,True,1417,66.8,7.26,2518.1,29.2,39.68,37.296
0.05,0.55,3.0,False,1698,66.0,7.38,3167.8,28.4,52.323,39.324
0.05,0.55,3.0,True,1500,66.1,7.78,2966.1,29.2,47.348,40.281
0.05,0.55,,False,1698,66.0,7.38,3167.8,28.4,52.323,39.324
0.05,0.55,,True,1500,66.1,7.78,2966.1,29.2,47.348,40.281
0.05,0.6,2.0,False,1365,68.8,6.93,2278.0,22.9,45.272,38.55
0.05,0.6,2.0,True,1189,69.4,7.92,2427.0,21.6,51.623,43.989
0.05,0.6,3.0,False,1371,68.7,6.96,2293.8,22.9,45.617,38.74
0.05,0.6,3.0,True,1195,69.3,7.94,2442.9,21.6,51.99,44.132
0.05,0.6,,False,1371,68.7,6.96,2293.8,22.9,45.617,38.74
0.05,0.6,,True,1195,69.3,7.94,2442.9,21.6,51.99,44.132
0.05,0.65,2.0,False,1025,69.4,3.46,701.3,38.5,6.511,14.754
0.05,0.65,2.0,True,878,70.2,4.96,850.9,27.6,11.783,24.336
0.05,0.65,3.0,False,1025,69.4,3.46,701.3,38.5,6.511,14.754
0.05,0.65,3.0,True,878,70.2,4.96,850.9,27.6,11.783,24.336
0.05,0.65,,False,1025,69.4,3.46,701.3,38.5,6.511,14.754
0.05,0.65,,True,878,70.2,4.96,850.9,27.6,11.783,24.336
