stake,prob,max_odds,clv,bets,wr,roi,final_bk,drawdown,score,score2
0.01,0.5,2.0,False,1662,65.6,5.87,422.6,8.8,12.588,39.686
0.01,0.5,2.0,True,1461,65.7,6.27,407.6,7.5,13.917,42.284
0.01,0.5,3.0,False,2048,63.5,8.55,662.7,9.1,25.538,59.288
0.01,0.5,3.0,True,1838,63.4,9.15,639.1,7.3,30.244,63.787
0.01,0.5,,False,2048,63.5,8.55,662.7,9.1,25.538,59.288
0.01,0.5,,True,1838,63.4,9.15,639.1,7.3,30.244,63.787
0.01,0.55,2.0,False,1615,66.6,7.18,474.3,8.4,16.309,48.583
0.01,0.55,2.0,True,1417,66.8,7.79,460.1,7.0,18.607,52.58
0.01,0.55,3.0,False,1698,66.0,7.61,509.6,7.7,20.237,52.272
0.01,0.55,3.0,True,1500,66.1,8.23,494.7,6.4,22.88,56.317
0.01,0.55,,False,1698,66.0,7.61,509.6,7.7,20.237,52.272
0.01,0.55,,True,1500,66.1,8.23,494.7,6.4,22.88,56.317
0.01,0.6,2.0,False,1365,68.8,7.75,449.3,6.3,19.914,52.45
0.01,0.6,2.0,True,1189,69.4,8.96,453.3,7.1,17.812,58.941
0.01,0.6,3.0,False,1371,68.7,7.76,450.6,6.9,18.136,52.185
0.01,0.6,3.0,True,1195,69.3,8.96,454.6,7.1,17.977,59.002
0.01,0.6,,False,1371,68.7,7.76,450.6,6.9,18.136,52.185
0.01,0.6,,True,1195,69.3,8.96,454.6,7.1,17.977,59.002
0.01,0.65,2.0,False,1025,69.4,4.43,298.2,8.2,5.96,28.184
0.01,0.65,2.0,True,878,70.2,5.73,309.5,8.7,6.313,35.475
0.01,0.65,3.0,False,1025,69.4,4.43,298.2,8.2,5.96,28.184
0.01,0.65,3.0,True,878,70.2,5.73,309.5,8.7,6.313,35.475
0.01,0.65,,False,1025,69.4,4.43,298.2,8.2,5.96,28.184
0.01,0.65,,True,878,70.2,5.73,309.5,8.7,6.313,35.475
0.02,0.5,2.0,False,1662,65.6,5.76,694.2,12.2,20.22,37.498
0.02,0.5,2.0,True,1461,65.7,6.17,660.0,12.6,18.298,39.312
0.02,0.5,3.0,False,2048,63.5,8.76,1471.7,17.5,36.25,55.08
0.02,0.5,3.0,True,1838,63.4,9.24,1375.5,14.2,41.363,59.587
0.02,0.5,,False,2048,63.5,8.76,1471.7,17.5,36.25,55.08
0.02,0.5,,True,1838,63.4,9.24,1375.5,14.2,41.363,59.587
0.02,0.55,2.0,False,1615,66.6,7.1,841.8,11.1,29.042,46.657
0.02,0.55,2.0,True,1417,66.8,7.69,805.5,12.6,24.084,48.791
0.02,0.55,3.0,False,1698,66.0,7.6,939.3,11.8,31.352,49.863
0.02,0.55,3.0,True,1500,66.1,8.15,897.2,12.6,27.732,52.115
0.02,0.55,,False,1698,66.0,7.6,939.3,11.8,31.352,49.863
0.02,0.55,,True,1500,66.1,8.15,897.2,12.6,27.732,52.115
0.02,0.6,2.0,False,1365,68.8,7.57,773.6,9.8,29.117,49.269
0.02,0.6,2.0,True,1189,69.4,8.73,788.3,11.6,25.291,54.633
0.02,0.6,3.0,False,1371,68.7,7.59,777.1,10.2,28.18,49.216
0.02,0.6,3.0,True,1195,69.3,8.74,791.6,11.5,25.676,54.803
0.02,0.6,,False,1371,68.7,7.59,777.1,10.2,28.18,49.216
0.02,0.6,,True,1195,69.3,8.74,791.6,11.5,25.676,54.803
0.02,0.65,2.0,False,1025,69.4,4.2,400.7,16.1,6.217,24.42
0.02,0.65,2.0,True,878,70.2,5.54,430.1,14.1,8.149,32.252
0.02,0.65,3.0,False,1025,69.4,4.2,400.7,16.1,6.217,24.42
0.02,0.65,3.0,True,878,70.2,5.54,430.1,14.1,8.149,32.252
0.02,0.65,,False,1025,69.4,4.2,400.7,16.1,6.217,24.42
0.02,0.65,,True,878,70.2,5.54,430.1,14.1,8.149,32.252
0.03,0.5,2.0,False,1662,65.6,5.62,1010.6,17.1,23.688,34.549
0.03,0.5,2.0,True,1461,65.7,6.03,956.6,18.4,20.548,35.854
0.03,0.5,3.0,False,2048,63.5,8.99,2855.7,25.5,52.133,51.09
0.03,0.5,3.0,True,1838,63.4,9.3,2578.7,20.8,57.125,55.353
0.03,0.5,,False,2048,63.5,8.99,2855.7,25.5,52.133,51.09
0.03,0.5,,True,1838,63.4,9.3,2578.7,20.8,57.125,55.353
0.03,0.55,2.0,False,1615,66.6,7.01,1318.0,16.2,34.464,43.388
0.03,0.55,2.0,True,1417,66.8,7.56,1252.8,18.4,28.594,44.763
0.03,0.55,3.0,False,1698,66.0,7.55,1513.4,17.5,37.59,46.345
0.03,0.55,3.0,True,1500,66.1,8.05,1430.4,18.4,33.416,48.038
0.03,0.55,,False,1698,66.0,7.55,1513.4,17.5,37.59,46.345
0.03,0.55,,True,1500,66.1,8.05,1430.4,18.4,33.416,48.038
0.03,0.6,2.0,False,1365,68.8,7.38,1183.3,14.2,34.575,45.704
0.03,0.6,2.0,True,1189,69.4,8.48,1219.9,15.1,33.682,50.961
0.03,0.6,3.0,False,1371,68.7,7.4,1189.8,14.2,34.802,45.856
0.03,0.6,3.0,True,1195,69.3,8.5,1226.3,14.9,34.441,51.262
0.03,0.6,,False,1371,68.7,7.4,1189.8,14.2,34.802,45.856
0.03,0.6,,True,1195,69.3,8.5,1226.3,14.9,34.441,51.262
0.03,0.65,2.0,False,1025,69.4,3.96,504.3,23.9,6.365,20.894
0.03,0.65,2.0,True,878,70.2,5.34,561.1,18.0,10.014,29.672
0.03,0.65,3.0,False,1025,69.4,3.96,504.3,23.9,6.365,20.894
0.03,0.65,3.0,True,878,70.2,5.34,561.1,18.0,10.014,29.672
0.03,0.65,,False,1025,69.4,3.96,504.3,23.9,6.365,20.894
0.03,0.65,,True,878,70.2,5.34,561.1,18.0,10.014,29.672
0.05,0.5,2.0,False,1662,65.6,5.27,1735.6,27.5,27.951,28.348
0.05,0.5,2.0,True,1461,65.7,5.73,1670.0,29.2,25.162,29.56
0.05,0.5,3.0,False,2048,63.5,9.43,8815.3,39.7,108.532,43.366
0.05,0.5,3.0,True,1838,63.4,9.27,7368.4,33.1,108.414,46.645
0.05,0.5,,False,2048,63.5,9.43,8815.3,39.7,108.532,43.366
